id,recipe_name,category,cuisine_type,meal_type,veg_nonveg,ingredients,instructions,prep_time_min,cook_time_min,difficulty_level,calories_per_serving,contains_gluten,contains_dairy,contains_eggs,contains_nuts,contains_shellfish,contains_soy,contains_seafood,contains_red_meat,spicy_level,diabetic_friendly,heart_friendly,image_class_label,image_folder_name,keywords
9,Vegetable Kurma,Indian,South Indian,Lunch,veg,"2 cups mixed vegetables
1/2 cup coconut paste
1 tsp garam masala
1 onion chopped
2 tbsp oil","Heat oil in a pan and sauté onions until translucent.
Add mixed vegetables and cook them for a few minutes.
Mix coconut paste and spices into the vegetables to create a thick gravy.
Simmer the curry until vegetables are tender and flavors blend well.",20,20,medium,260,no,no,no,no,no,no,no,no,medium,yes,yes,veg_kurma,veg_kurma,"veg,curry"

10,Paneer Butter Masala,Indian,North Indian,Dinner,veg,"250 g paneer cubes
2 tomatoes pureed
2 tbsp butter
1/2 cup cream
1 tsp garam masala","Heat butter in a pan and sauté tomato puree with spices.
Cook the gravy until it becomes thick and aromatic.
Add paneer cubes and simmer gently in the gravy.
Finish with cream and cook briefly before serving.",20,20,medium,420,no,yes,no,no,no,no,no,no,medium,no,no,paneer_butter_masala,paneer_butter_masala,"paneer,curry"

11,Chole Bhature,Indian,North Indian,Lunch,veg,"2 cups chickpeas soaked overnight
2 cups all purpose flour
1/2 cup yogurt
2 tbsp cooking oil
1 onion finely chopped
1 tbsp chole masala
Salt to taste","Soak chickpeas overnight and pressure cook them until soft and tender.
Heat oil in a pan and sauté onions with spices until fragrant, then add the cooked chickpeas and simmer to form a thick curry.
Prepare dough using flour, yogurt, salt and water, and allow it to rest for 30 minutes.
Roll small discs from the dough and deep fry them in hot oil until puffed and golden, then serve hot with the chole.",30,30,hard,500,yes,yes,no,no,no,no,no,no,medium,no,no,chole_bhature,chole_bhature,"chickpea,fried"

12,Rajma Chawal,Indian,North Indian,Lunch,veg,"1 cup rajma beans soaked overnight
2 cups cooked basmati rice
2 tomatoes finely chopped
1 onion chopped
1 tsp garam masala
2 tbsp cooking oil","Soak rajma beans overnight and pressure cook them until soft.
In a pan heat oil and sauté onions and tomatoes with spices until the mixture forms a thick masala.
Add cooked rajma with some water and simmer the curry so the flavors blend well.
Serve the hot rajma curry over freshly cooked basmati rice.",20,30,medium,430,no,no,no,no,no,no,no,no,medium,yes,yes,rajma_chawal,rajma_chawal,"beans,rice"

13,Palak Paneer,Indian,North Indian,Dinner,veg,"2 cups fresh spinach leaves
200 g paneer cubes
1/2 cup fresh cream
1 onion chopped
1 tsp garam masala
2 tbsp oil","Blanch spinach leaves in boiling water and blend them into a smooth green puree.
Heat oil in a pan and sauté onions and spices until aromatic.
Add the spinach puree and cook for a few minutes until it thickens.
Add paneer cubes and cream, simmer briefly and serve hot.",15,20,medium,350,no,yes,no,no,no,no,no,no,mild,yes,yes,palak_paneer,palak_paneer,"spinach,paneer"

14,Aloo Paratha,Indian,North Indian,Breakfast,veg,"2 cups whole wheat flour
2 boiled potatoes mashed
1 tsp cumin seeds
1 tsp chili powder
2 tbsp butter
Salt to taste","Prepare a soft dough using whole wheat flour, salt, and water and allow it to rest.
Mix mashed potatoes with spices and herbs to prepare the filling.
Stuff the potato mixture inside small dough balls and roll them into flat parathas.
Cook the parathas on a hot tawa with butter until golden brown on both sides.",20,15,medium,300,yes,yes,no,no,no,no,no,no,mild,no,no,aloo_paratha,aloo_paratha,"bread,potato"

15,Poori Masala,Indian,South Indian,Breakfast,veg,"2 cups wheat flour
3 boiled potatoes
1 onion sliced
1 tsp mustard seeds
2 tbsp cooking oil
Salt to taste","Prepare a stiff dough with wheat flour, salt, and water and rest it for 15 minutes.
Roll small discs from the dough and deep fry them in hot oil until puffed and golden.
In another pan prepare potato masala by sautéing mustard seeds, onions, and spices.
Add mashed potatoes and cook briefly before serving with hot pooris.",15,15,medium,350,yes,no,no,no,no,no,no,no,mild,no,no,poori_masala,poori_masala,"fried,breakfast"

16,Upma,Indian,South Indian,Breakfast,veg,"1 cup semolina (rava)
1/2 cup mixed vegetables
1 tsp mustard seeds
2 tbsp cooking oil
1 green chili chopped
Salt to taste","Dry roast the semolina in a pan until it becomes aromatic and lightly golden.
Heat oil in another pan and add mustard seeds, green chilies, and vegetables.
Add water and bring it to a boil before slowly adding the roasted semolina.
Stir continuously until the mixture thickens and the upma becomes soft and fluffy.",10,15,easy,200,yes,no,no,no,no,no,no,no,mild,yes,yes,upma,upma,"semolina,light"

17,Pongal,Indian,South Indian,Breakfast,veg,"1 cup rice
1/2 cup moong dal
1 tsp black pepper
2 tbsp ghee
1 tsp cumin seeds
Salt to taste","Dry roast moong dal lightly until aromatic.
Cook rice and dal together in water until soft and mushy.
Heat ghee in a pan and sauté cumin seeds and black pepper.
Mix the tempering with the cooked rice and dal mixture and serve hot.",10,20,easy,250,no,yes,no,no,no,no,no,no,mild,yes,yes,pongal,pongal,"rice,comfort"

18,Vada,Indian,South Indian,Snack,veg,"1 cup urad dal
1 tsp black pepper
1 green chili chopped
Oil for deep frying
Salt to taste","Soak urad dal for a few hours and grind it into a thick batter.
Add chopped chilies, pepper, and salt to the batter and mix well.
Shape small doughnut shaped vadas using wet hands.
Deep fry them in hot oil until crisp and golden brown.",20,15,medium,280,no,no,no,no,no,no,no,no,mild,no,no,vada,vada,"fried,snack"

19,Fish Curry,Indian,South Indian,Lunch,non-veg,"500 g fish pieces
1 tbsp tamarind paste
2 tomatoes chopped
1 onion sliced
2 tbsp cooking oil
1 tsp chili powder","Heat oil in a pan and sauté onions and tomatoes with spices until soft.
Add tamarind paste and water to create a tangy curry base.
Place the fish pieces gently into the simmering gravy.
Cook on medium heat until the fish becomes tender and the flavors combine well.",15,20,medium,300,no,no,no,no,no,no,yes,no,medium,yes,yes,fish_curry,fish_curry,"seafood,curry"

20,Prawn Fry,Indian,South Indian,Snack,non-veg,"400 g cleaned prawns
1 tsp chili powder
1 tsp turmeric powder
2 tbsp cooking oil
1 tsp garlic paste
Salt to taste","Marinate the prawns with chili powder, turmeric, garlic paste, and salt for 20 minutes.
Heat oil in a pan and add the marinated prawns.
Cook the prawns on medium heat until they turn golden and slightly crisp.
Stir occasionally to coat them well with spices and serve hot.",15,10,easy,280,no,no,no,no,yes,no,no,no,hot,no,no,prawn_fry,prawn_fry,"seafood,spicy"

21,Egg Curry,Indian,North Indian,Lunch,non-veg,"4 boiled eggs
2 tomatoes finely chopped
1 onion chopped
1 tsp garam masala
2 tbsp cooking oil
Salt to taste","Boil the eggs until firm, peel the shells, and keep them aside.
Heat oil in a pan and sauté chopped onions and tomatoes with spices until the mixture becomes thick.
Add water to create a curry base and allow it to simmer for a few minutes.
Place the boiled eggs in the gravy and cook briefly so they absorb the flavors.",10,20,easy,250,no,no,yes,no,no,no,no,no,medium,yes,yes,egg_curry,egg_curry,"eggs,curry"

22,Kadhi Pakora,Indian,North Indian,Lunch,veg,"1 cup yogurt
3 tbsp gram flour (besan)
1 tsp turmeric powder
1 tsp cumin seeds
Oil for frying pakoras
Salt to taste","Prepare pakoras by mixing gram flour, spices, and water into a thick batter and deep frying small portions.
Whisk yogurt with gram flour, turmeric, and water to form a smooth mixture.
Cook the yogurt mixture on low heat while stirring continuously until it thickens.
Add the fried pakoras into the kadhi and simmer gently before serving.",20,25,medium,320,no,yes,no,no,no,no,no,no,mild,no,no,kadhi_pakora,kadhi_pakora,"yogurt,gravy"

23,Vegetable Pulao,Indian,North Indian,Lunch,veg,"2 cups basmati rice
1 cup mixed vegetables (carrot, beans, peas)
1 onion sliced
1 tsp garam masala
2 tbsp cooking oil","Wash and soak the basmati rice for about 15 minutes.
Heat oil in a pan and sauté onions and spices until fragrant.
Add mixed vegetables and cook them lightly for a few minutes.
Add rice and water, cover the pot, and cook until the rice becomes fluffy and fully cooked.",10,20,easy,280,no,no,no,no,no,no,no,no,mild,yes,yes,veg_pulao,veg_pulao,"rice,veg"

24,Masala Dosa,Indian,South Indian,Breakfast,veg,"2 cups dosa batter
3 boiled potatoes
1 onion sliced
2 tbsp cooking oil
1 tsp mustard seeds
Salt to taste","Prepare the potato masala by sautéing mustard seeds, onions, spices, and mashed potatoes.
Heat a dosa tawa and spread a ladle of fermented dosa batter into a thin circle.
Drizzle oil around the edges and cook until the dosa turns crisp.
Place the potato masala inside the dosa, fold it, and serve hot.",20,20,medium,300,no,no,no,no,no,no,no,no,mild,no,no,masala_dosa,masala_dosa,"dosa,potato"

25,Vegetable Manchurian,Indian,Indo-Chinese,Dinner,veg,"1 cup grated cabbage
1/2 cup grated carrot
3 tbsp all purpose flour
2 tbsp soy sauce
2 tbsp cooking oil
1 tsp garlic paste","Mix cabbage, carrot, flour, salt, and spices to form small vegetable balls.
Deep fry the vegetable balls in hot oil until crispy and golden brown.
In another pan prepare the Manchurian sauce using soy sauce, garlic, and spices.
Add the fried vegetable balls to the sauce and toss well before serving.",25,20,medium,350,yes,no,no,no,no,yes,no,no,medium,no,no,veg_manchurian,veg_manchurian,"fried,indo-chinese"

26,Butter Chicken,Indian,North Indian,Dinner,non-veg,"500 g chicken pieces
2 tomatoes pureed
2 tbsp butter
1/2 cup cream
1 tsp garam masala
Salt to taste","Marinate chicken with spices and yogurt for at least 30 minutes.
Cook the marinated chicken in a pan until lightly browned.
Prepare a rich tomato gravy using butter, tomato puree, and spices.
Add chicken to the gravy and finish with cream before serving.",20,25,medium,480,no,yes,no,no,no,no,no,no,medium,no,no,butter_chicken,butter_chicken,"chicken,gravy"

27,Dal Tadka,Indian,North Indian,Lunch,veg,"1 cup toor dal
3 cloves garlic chopped
2 tbsp ghee
1 tsp cumin seeds
1 tomato chopped
Salt to taste","Wash and pressure cook the toor dal until soft and mushy.
Mash the dal slightly and add water to achieve the desired consistency.
Heat ghee in a small pan and sauté garlic, cumin seeds, and spices.
Pour this tempering over the cooked dal and mix well before serving.",10,20,easy,220,no,no,no,no,no,no,no,no,mild,yes,yes,dal_tadka,dal_tadka,"lentils,protein"

28,Malai Kofta,Indian,North Indian,Dinner,veg,"200 g paneer grated
2 boiled potatoes mashed
1/2 cup cream
2 tomatoes pureed
2 tbsp cooking oil
1 tsp garam masala","Mix paneer, potatoes, and spices to form soft kofta balls.
Deep fry the koftas in hot oil until golden and crisp.
Prepare a rich gravy using tomato puree, cream, and spices.
Add the fried koftas to the gravy just before serving so they remain soft.",25,25,hard,400,no,yes,no,no,no,no,no,no,mild,no,no,malai_kofta,malai_kofta,"paneer,curry"

29,Jeera Rice,Indian,North Indian,Lunch,veg,"2 cups basmati rice
1 tsp cumin seeds
2 tbsp ghee
Salt to taste
Water as required","Wash and soak basmati rice for about 15 minutes.
Cook the rice in water until soft and fluffy.
Heat ghee in a pan and add cumin seeds until aromatic.
Mix the cooked rice with the cumin tempering and serve warm.",5,15,easy,210,no,no,no,no,no,no,no,no,mild,yes,yes,jeera_rice,jeera_rice,"rice,cumin"

30,Methi Thepla,Indian,Gujarati,Breakfast,veg,"2 cups whole wheat flour
1 cup fresh fenugreek leaves chopped
1 tsp turmeric powder
1 tsp chili powder
2 tbsp oil
Salt to taste","Mix wheat flour with chopped fenugreek leaves and spices to form a soft dough.
Add water gradually and knead until smooth.
Roll small portions of the dough into thin flatbreads.
Cook the theplas on a hot tawa with a little oil until golden on both sides.",15,15,easy,240,yes,no,no,no,no,no,no,no,mild,yes,yes,methi_thepla,methi_thepla,"flatbread,fenugreek"

31,Dhokla,Indian,Gujarati,Snack,veg,"1 cup gram flour (besan)
1/2 cup yogurt
1 tsp turmeric powder
1 tsp mustard seeds
1 tbsp oil
Salt to taste","Mix gram flour, yogurt, turmeric, salt, and water to form a smooth batter.
Allow the batter to rest for about 10 minutes and add a little fruit salt or baking soda.
Pour the batter into a greased steaming tray and steam for about 10–12 minutes.
Prepare a tempering with mustard seeds and oil, pour it over the steamed dhokla, and cut into pieces.",15,15,easy,180,no,yes,no,no,no,no,no,no,mild,yes,yes,dhokla,dhokla,"steamed,snack"

32,Pav Bhaji,Indian,Maharashtrian,Dinner,veg,"2 cups mixed vegetables (potato, peas, carrot)
2 tbsp butter
1 onion finely chopped
2 tomatoes chopped
1 tbsp pav bhaji masala
4 pav bread buns","Boil and mash the mixed vegetables until soft.
Heat butter in a pan and sauté onions and tomatoes with pav bhaji masala.
Add the mashed vegetables and cook while mashing until a thick bhaji forms.
Toast the pav buns with butter on a hot pan and serve them with the hot bhaji.",20,20,medium,450,yes,yes,no,no,no,no,no,no,medium,no,no,pav_bhaji,pav_bhaji,"streetfood,veg"

33,Misal Pav,Indian,Maharashtrian,Breakfast,veg,"1 cup mixed sprouts
1 onion finely chopped
2 tomatoes chopped
1 tbsp misal masala
2 tbsp cooking oil
4 pav bread buns","Cook the sprouts in water with salt until soft.
Heat oil in a pan and sauté onions, tomatoes, and spices until aromatic.
Add the cooked sprouts and simmer the curry to create the spicy misal gravy.
Serve the hot misal topped with onions and farsan along with toasted pav.",20,25,medium,420,yes,no,no,no,no,no,no,no,hot,no,no,misal_pav,misal_pav,"spicy,streetfood"

34,Vada Pav,Indian,Maharashtrian,Snack,veg,"3 boiled potatoes mashed
1 cup gram flour
1 tsp mustard seeds
1 tsp chili powder
4 pav buns
Oil for frying","Prepare the potato filling by sautéing mustard seeds, spices, and mashed potatoes.
Shape the potato mixture into small balls.
Dip each ball into gram flour batter and deep fry until golden brown.
Place the fried vada inside pav bread with chutneys and serve.",15,15,medium,350,yes,no,no,no,no,no,no,no,medium,no,no,vada_pav,vada_pav,"streetfood,fried"

35,Pesarattu,Indian,South Indian,Breakfast,veg,"1 cup green gram soaked
1/4 cup rice
1 inch ginger
1 green chili
2 tbsp oil","Soak green gram and rice for several hours.
Grind them with ginger and chili to form a thick batter.
Spread the batter on a hot dosa pan into a thin circle.
Drizzle oil and cook until crisp before serving.",15,15,easy,230,no,no,no,no,no,no,no,no,mild,yes,yes,pesarattu,pesarattu,"protein,dosa"

36,Avial,Indian,Kerala,Lunch,veg,"2 cups mixed vegetables (carrot, beans, drumstick)
1/2 cup grated coconut
1/2 cup yogurt
1 tsp cumin seeds
2 tbsp coconut oil","Boil the mixed vegetables with salt and a little water until tender.
Grind coconut and cumin seeds into a coarse paste.
Add the coconut paste and yogurt to the vegetables and mix gently.
Finish with coconut oil and curry leaves before serving.",15,20,medium,260,no,yes,no,no,no,no,no,no,mild,yes,yes,avial,avial,"kerala,veg"

37,Appam,Indian,Kerala,Breakfast,veg,"2 cups rice soaked
1/2 cup grated coconut
1 tsp yeast
1 tsp sugar
Salt to taste","Grind soaked rice with coconut to make a smooth batter.
Add yeast, sugar, and salt and allow the batter to ferment overnight.
Heat an appam pan and pour a ladle of batter into the center.
Swirl the pan to spread the batter and cook until soft with crispy edges.",20,15,medium,200,no,no,no,no,no,no,no,no,mild,yes,yes,appam,appam,"rice,bread"

38,Chicken Stew,Indian,Kerala,Dinner,non-veg,"500 g chicken pieces
1 cup coconut milk
2 potatoes chopped
1 onion sliced
1 tsp black pepper
2 tbsp coconut oil","Heat coconut oil in a pot and sauté onions and spices.
Add chicken pieces and cook until lightly browned.
Add potatoes and coconut milk and allow the stew to simmer.
Cook until the chicken becomes tender and the gravy thickens.",20,25,medium,380,no,no,no,no,no,no,no,no,mild,yes,yes,chicken_stew,chicken_stew,"coconut,chicken"

39,Kozhukattai,Indian,South Indian,Snack,veg,"1 cup rice flour
1/2 cup grated coconut
1/2 cup jaggery
1 tsp cardamom powder
Water as required","Prepare the filling by cooking coconut and jaggery together until thick.
Boil water with a little salt and mix in rice flour to form a soft dough.
Shape small dumplings and fill them with the sweet coconut mixture.
Steam the dumplings for about 10 minutes until cooked.",20,15,medium,210,no,no,no,no,no,no,no,no,mild,yes,yes,kozhukattai,kozhukattai,"sweet,steamed"

40,Rasgulla,Indian,East Indian,Dessert,veg,"1 liter milk
2 tbsp lemon juice
1 cup sugar
3 cups water
1 tsp cardamom","Boil the milk and add lemon juice to curdle it and form chenna.
Strain the chenna and knead it until smooth.
Shape the chenna into small balls.
Cook the balls in boiling sugar syrup until they expand and become soft.",25,20,hard,200,no,yes,no,no,no,no,no,no,mild,no,no,rasgulla,rasgulla,"sweet,dessert"

41,Sandesh,Indian,East Indian,Dessert,veg,"1 liter full fat milk
2 tbsp lemon juice
1/4 cup powdered sugar
1/2 tsp cardamom powder
1 tbsp chopped pistachios","Boil the milk in a pan and add lemon juice to curdle it and form fresh chenna.
Strain the chenna through a cloth and squeeze out excess water.
Knead the chenna with sugar and cardamom powder until smooth.
Shape the mixture into small sweets and garnish with pistachios.",20,10,medium,180,no,yes,no,no,no,no,no,no,mild,no,no,sandesh,sandesh,"sweet,milk"

42,Litti Chokha,Indian,Bihari,Lunch,veg,"2 cups wheat flour
1 cup roasted sattu flour
1 onion finely chopped
1 tomato chopped
2 tbsp mustard oil
1 tsp cumin seeds","Prepare dough using wheat flour, salt, and water and keep it aside.
Mix sattu flour with chopped onion, spices, mustard oil, and a little water for stuffing.
Stuff the mixture inside dough balls and bake them in an oven or over charcoal until crisp.
Serve the baked litti with mashed vegetable chokha made from roasted eggplant, tomato, and potato.",20,25,medium,360,yes,no,no,no,no,no,no,no,medium,yes,yes,litti_chokha,litti_chokha,"baked,traditional"

43,Vegetable Korma,Indian,North Indian,Dinner,veg,"2 cups mixed vegetables
1/2 cup cashew paste
1/2 cup cream
1 onion chopped
2 tbsp cooking oil
1 tsp garam masala","Heat oil in a pan and sauté onions and spices until fragrant.
Add mixed vegetables and cook them lightly for a few minutes.
Stir in cashew paste and cream to create a rich gravy.
Simmer the curry until vegetables are tender and the sauce thickens.",20,25,medium,390,no,yes,no,yes,no,no,no,no,mild,no,no,veg_korma,veg_korma,"royal,curry"

44,Chicken Tikka,Indian,North Indian,Snack,non-veg,"500 g boneless chicken pieces
1/2 cup yogurt
1 tbsp ginger garlic paste
1 tsp chili powder
1 tsp garam masala
1 tbsp lemon juice","Marinate chicken pieces with yogurt, spices, ginger garlic paste, and lemon juice.
Allow the chicken to marinate for at least 30 minutes.
Thread the chicken pieces onto skewers and grill them in an oven or tandoor.
Cook until the chicken becomes tender and slightly charred before serving.",20,15,medium,300,no,yes,no,no,no,no,no,no,medium,yes,yes,chicken_tikka,chicken_tikka,"grilled,protein"

45,Hara Bhara Kabab,Indian,North Indian,Snack,veg,"1 cup spinach leaves
1/2 cup green peas
2 boiled potatoes
1 tsp garam masala
2 tbsp breadcrumbs
2 tbsp cooking oil","Blanch spinach and grind it lightly with peas.
Mix the paste with mashed potatoes, spices, and breadcrumbs.
Shape the mixture into small flat patties.
Shallow fry the patties in oil until crisp and golden on both sides.",15,15,medium,250,no,no,no,no,no,no,no,no,mild,yes,yes,hara_bhara_kabab,hara_bhara_kabab,"healthy,snack"

46,Mutton Rogan Josh,Indian,Kashmiri,Dinner,non-veg,"500 g mutton pieces
1 cup yogurt
2 onions chopped
2 tbsp cooking oil
1 tsp Kashmiri chili powder
1 tsp garam masala","Heat oil in a heavy pan and sauté onions and spices.
Add mutton pieces and cook until they begin to brown.
Stir in yogurt and cook slowly so the gravy thickens and flavors develop.
Simmer the curry until the mutton becomes tender and aromatic.",25,40,hard,520,no,yes,no,no,no,no,no,yes,medium,no,no,rogan_josh,rogan_josh,"mutton,curry"

47,Yakhni Pulao,Indian,Kashmiri,Lunch,non-veg,"2 cups basmati rice
400 g mutton pieces
1/2 cup yogurt
1 onion sliced
1 tsp whole spices
2 tbsp ghee","Cook mutton with whole spices to prepare a flavorful stock.
Wash and soak basmati rice for about 15 minutes.
Heat ghee in a pot and sauté onions before adding the rice.
Pour in the prepared stock and cook until the rice becomes fluffy.",20,30,medium,450,no,yes,no,no,no,no,no,yes,mild,no,no,yakhni_pulao,yakhni_pulao,"rice,mutton"

48,Vegetable Cutlet,Indian,Indian,Snack,veg,"2 boiled potatoes
1/2 cup grated carrot
1/2 cup green peas
1/2 cup breadcrumbs
1 tsp garam masala
2 tbsp oil","Mash potatoes and mix with carrot, peas, spices, and salt.
Shape the mixture into small oval patties.
Coat the patties with breadcrumbs for a crispy texture.
Shallow fry them in oil until golden brown.",15,10,easy,220,yes,no,no,no,no,no,no,no,mild,yes,yes,veg_cutlet,veg_cutlet,"snack,fried"

49,Sabudana Khichdi,Indian,Maharashtrian,Breakfast,veg,"1 cup sabudana soaked
1 boiled potato chopped
1/4 cup roasted peanuts
1 tsp cumin seeds
2 tbsp cooking oil
Salt to taste","Soak sabudana in water for several hours until soft.
Heat oil in a pan and sauté cumin seeds and peanuts.
Add chopped potatoes and cook for a few minutes.
Mix in the soaked sabudana and cook gently until fluffy.",15,15,medium,300,no,no,no,yes,no,no,no,no,mild,yes,yes,sabudana_khichdi,sabudana_khichdi,"fasting,light"

50,Tandoori Chicken,Indian,North Indian,Dinner,non-veg,"600 g chicken pieces
1/2 cup yogurt
1 tbsp ginger garlic paste
1 tsp chili powder
1 tsp garam masala
1 tbsp lemon juice","Make deep cuts on the chicken pieces and marinate with yogurt, spices, and lemon juice.
Allow the chicken to marinate for at least one hour for best flavor.
Place the chicken on a grill rack or baking tray.
Roast in a hot oven or tandoor until the chicken becomes juicy and slightly charred.",20,30,medium,400,no,yes,no,no,no,no,no,no,medium,yes,yes,tandoori_chicken,tandoori_chicken,"roasted,chicken"

51,Vegetable Khichdi,Indian,North Indian,Lunch,veg,"1 cup rice
1/2 cup moong dal
1 cup mixed vegetables (carrot, beans, peas)
1 tbsp ghee
1 tsp cumin seeds
Salt to taste","Wash rice and moong dal thoroughly and soak them for about 10 minutes.
Heat ghee in a pressure cooker and sauté cumin seeds and vegetables.
Add rice and dal along with water and salt and mix well.
Pressure cook until soft and slightly mushy before serving hot.",10,20,easy,260,no,no,no,no,no,no,no,no,mild,yes,yes,veg_khichdi,veg_khichdi,"comfort,healthy"

52,Chicken Korma,Indian,North Indian,Dinner,non-veg,"500 g chicken pieces
1/2 cup cashew paste
1/2 cup cream
1 onion finely chopped
2 tbsp cooking oil
1 tsp garam masala","Heat oil in a pan and sauté chopped onions until golden brown.
Add chicken pieces and cook until lightly browned on all sides.
Mix in cashew paste, cream, and spices to create a rich gravy.
Simmer the curry until the chicken becomes tender and flavorful.",20,30,medium,460,no,yes,no,yes,no,no,no,no,mild,no,no,chicken_korma,chicken_korma,"chicken,gravy"

53,Matar Paneer,Indian,North Indian,Dinner,veg,"200 g paneer cubes
1 cup green peas
2 tomatoes pureed
1 onion chopped
1 tsp garam masala
2 tbsp oil","Heat oil in a pan and sauté onions and spices until fragrant.
Add tomato puree and cook until the mixture thickens.
Stir in green peas and cook for a few minutes.
Add paneer cubes and simmer gently before serving.",15,20,medium,360,no,yes,no,no,no,no,no,no,medium,yes,yes,matar_paneer,matar_paneer,"paneer,peas"

54,Stuffed Capsicum,Indian,North Indian,Dinner,veg,"4 capsicum peppers
2 boiled potatoes mashed
1 onion chopped
1 tsp chili powder
2 tbsp cooking oil
Salt to taste","Cut the tops off the capsicums and remove the seeds.
Prepare the stuffing by mixing mashed potatoes, onions, and spices.
Fill each capsicum with the prepared stuffing mixture.
Cook the stuffed capsicums in a pan with oil until tender.",15,20,medium,240,no,no,no,no,no,no,no,no,mild,yes,yes,stuffed_capsicum,stuffed_capsicum,"veg,stuffed"

